,x1,y1,z1,vx1,vy1,vz1,x2,y2,z2,vx2,vy2,vz2,x3,y3,z3,vx3,vy3,vz3,time
43,7.860749283391931e-07,2.0332637940447293e-07,0.0,3.45708650797903e-08,1.3761320787156383e-08,0.0,0.7414362063396946,0.7014229664480847,0.0,-0.011379965647254043,0.013343911861492455,0.0,0.7402316409318574,0.6993238141917267,0.0,-0.010842738373179594,0.013013300277954208,0.0,43
44,8.20956388346378e-07,2.1738662773739693e-07,0.0,3.519201787495341e-08,1.4359113817961836e-08,0.0,0.7299536941818053,0.7146676521277807,0.0,-0.011585032788933908,0.013145513077895332,0.0,0.7293162350340632,0.7123102518466427,0.0,-0.010989169909865164,0.01295690926763092,0.0,44
45,8.564532866738058e-07,2.3204939451195925e-07,0.0,3.580174334451479e-08,1.4966357216597162e-08,0.0,0.718268233961232,0.7277123384136902,0.0,-0.011785873812781459,0.012943913934981965,0.0,0.7182369118765646,0.725242470272265,0.0,-0.011169641456844591,0.012904804316458561,0.0,45
46,8.925541271100172e-07,2.4732400478453244e-07,0.0,3.639990371609095e-08,1.5582800409337662e-08,0.0,0.7063840664114509,0.7405539309423543,0.0,-0.011982457691690145,0.012739322274616929,0.0,0.7069603059191362,0.7381195503967551,0.0,-0.011382949517269833,0.01284690997330655,0.0,46
47,9.292472789132553e-07,2.6321953228934735e-07,0.0,3.698636769934649e-08,1.6208191324531714e-08,0.0,0.6943054459873319,0.7531895325781864,0.0,-0.012174786806490109,0.012531926502507732,0.0,0.6954555694192271,0.7509313776205845,0.0,-0.011625359417956515,0.012774765525415899,0.0,47
48,9.665209832852118e-07,2.7974479803538986e-07,0.0,3.756101046940087e-08,1.684227658238472e-08,0.0,0.6820366142639815,0.765616421631201,0.0,-0.012362884543843372,0.012321890855100217,0.0,0.6836963524831244,0.763660444032127,0.0,-0.011891609432237635,0.012681903260061198,0.0,48
49,1.0043633598240595e-06,2.969083690913502e-07,0.0,3.812371364211751e-08,1.7484801681298898e-08,0.0,0.6695817843983365,0.7778320284363499,0.0,-0.012546785085809642,0.012109356285046051,0.0,0.6716618875930521,0.7762837782598833,0.0,-0.012175737158505203,0.012563771714785975,0.0,49
50,1.0427624129490272e-06,3.1471855755547495e-07,0.0,3.867436524195682e-08,1.8135511181301778e-08,0.0,0.6569451337030174,0.7898339142168125,0.0,-0.012726526842461333,0.011894444062845913,0.0,0.6593374178089908,0.7887746853362909,0.0,-0.012471610611163256,0.01241743899594435,0.0,50
51,1.0817060382894958e-06,3.331834197075883e-07,0.0,3.9212859663170986e-08,1.87941488849025e-08,0.0,0.6441308009655766,0.8016197536213732,0.0,-0.012902149180257748,0.01167725972241357,0.0,0.6467142415505948,0.801104184046213,0.0,-0.012773192175469279,0.012241268309042364,0.0,51
52,1.1211820290323398e-06,3.5231075534077586e-07,0.0,3.9739097625076404e-08,1.9460458015510004e-08,0.0,0.6311428859040786,0.8131873205929432,0.0,-0.013073691298874715,0.011457896031769403,0.0,0.6337895854626897,0.8132421696057577,0.0,-0.013074628377715497,0.012034672519364699,0.0,52
53,1.1611780822219096e-06,3.721081072702704e-07,0.0,4.02529861220422e-08,2.013418139338278e-08,0.0,0.6179854492908224,0.8245344764221879,0.0,-0.013241192036207544,0.011236434590096062,0.0,0.6205664244387601,0.8251583945673641,0.0,-0.013370264330827372,0.011797980043862432,0.0,53
54,1.2016818050076432e-06,3.9258276101699015e-07,0.0,4.07544383687304e-08,2.0815061608958463e-08,0.0,0.6046625133203737,0.8356591587496964,0.0,-0.01340468965284602,0.01101294624886373,0.0,0.6070532832682443,0.8368233681812215,0.0,-0.01365465971463058,0.011532396064085428,0.0,54
55,1.2426807208347744e-06,4.137417446629843e-07,0.0,4.124337374103024e-08,2.1502841193316288e-08,0.0,0.5911780625357541,0.8465593706265224,0.0,-0.013564221026101064,0.010787490865982253,0.0,0.5932639946081218,0.8482092463911476,0.0,-0.013922652466273574,0.011240017841284786,0.0,55
56,1.2841622755740134e-06,4.355918288757512e-07,0.0,4.171971771304111e-08,2.2197262785439068e-08,0.0,0.577536045994994,0.8572331692937711,0.0,-0.013719820067991642,0.010560116999458101,0.0,0.5792173581315103,0.8592907400319898,0.0,-0.014169485223272537,0.01092385501796535,0.0,56
57,1.326113843586373e-06,4.581395270980204e-07,0.0,4.2183401790366324e-08,2.2898069295859767e-08,0.0,0.5637403813700487,0.8676786549069407,0.0,-0.013871515519871876,0.010330862071651993,0.0,0.5649366449042583,0.8700460230381747,0.0,-0.014390982159179761,0.010587811898315345,0.0,57
58,1.3685227337195427e-06,4.813910958991402e-07,0.0,4.263436343987965e-08,2.360500406621095e-08,0.0,0.5497949613919014,0.8778939598485718,0.0,-0.014019328511354996,0.010099753318410004,0.0,0.550448913567155,0.8804575886398207,0.0,-0.014583744816050534,0.010236606264414052,0.0,58
59,1.4113761952323042e-06,5.053525354837111e-07,0.0,4.3072546016024744e-08,2.4317811024162256e-08,0.0,0.5357036626259013,0.8878772394292946,0.0,-0.014163270341754925,0.009866809541983462,0.0,0.5357841397103223,0.8905129888563165,0.0,-0.014745329819451283,0.009875623209963677,0.0,59
60,1.4546614236435116e-06,5.300295903525964e-07,0.0,4.3497898683619504e-08,2.5036234833249033e-08,0.0,0.5214703561622046,0.8976266646476996,0.0,-0.014303340823955254,0.009632043418353104,0.0,0.5209741921591855,0.9002054031148593,0.0,-0.014874380942561846,0.009510724205098282,0.0,60
61,1.49836556650209e-06,5.554277501109851e-07,0.0,4.3910376337079397e-08,2.5760021037170946e-08,0.0,0.5070989196052164,0.9071404173533817,0.0,-0.014439527271924588,0.009395463981895271,0.0,0.5060517061722256,0.9095340082445666,0.0,-0.01497070893831587,0.009148041945670992,0.0,61
62,1.5424757290744137e-06,5.815522504178232e-07,0.0,4.4309939515954716e-08,2.648891619826569e-08,0.0,0.4925932498224297,0.9164166878148661,0.0,-0.014571803930347632,0.009157078988103053,0.0,0.4910488973562419,0.9185041498617381,0.0,-0.015035335460727849,0.008793785237229802,0.0,62
63,1.5869789799453346e-06,6.084080740707173e-07,0.0,4.469655431669764e-08,2.7222668030023816e-08,0.0,0.47795727621558554,0.925453674533093,0.0,-0.014700131475411299,0.008916897118978294,0.0,0.47599633560324,0.9271273282100562,0.0,-0.015070531120952746,0.008454056783404598,0.0,63
64,1.6318623565290661e-06,6.359999522203736e-07,0.0,4.5070192300627955e-08,2.7961025523690163e-08,0.0,0.46319497463390946,0.9342495862970933,0.0,-0.014824456264974417,0.008674930349142658,0.0,0.46092166945084384,0.9354209988888426,0.0,-0.015079873740727173,0.008134658115579434,0.0,64
65,1.677112870486148e-06,6.643323657087753e-07,0.0,4.543083039814654e-08,2.8703739069185197e-08,0.0,0.44831038221703245,0.942802646964942,0.0,-0.01494470932899036,0.008431197088834793,0.0,0.4458482776719864,0.9434081494958181,0.0,-0.015068327544099456,0.00784083174801962,0.0,65
